date,region,latitude,longitude,temp_avg_c,temp_avg_f,hdd,cdd,hdd_7,cdd_7,hdd_14,cdd_14,hdd_30,cdd_30
2022-01-28,San_Antonio_TX,29.424349,-98.491142,8.92,48.056,16.944000000000003,0.0,16.40657142857143,0.0,16.829571428571427,0.0,14.7678,0.3419999999999997
2022-01-29,San_Antonio_TX,29.424349,-98.491142,9.26,48.668,16.332,0.0,15.475714285714288,0.0,16.716428571428573,0.0,15.312199999999999,0.25759999999999983
2022-01-30,San_Antonio_TX,29.424349,-98.491142,10.42,50.756,14.244,0.0,15.334285714285715,0.0,16.330714285714286,0.0,15.787,0.09879999999999996
2022-01-31,San_Antonio_TX,29.424349,-98.491142,12.87,55.166,9.834000000000003,0.0,14.426571428571432,0.0,15.972,0.0,16.1148,0.0
2022-02-01,San_Antonio_TX,29.424349,-98.491142,13.63,56.534,8.466000000000001,0.0,13.47257142857143,0.0,15.855000000000002,0.0,15.488400000000002,0.0
2022-02-02,San_Antonio_TX,29.424349,-98.491142,11.19,52.141999999999996,12.858000000000004,0.0,13.104857142857144,0.0,16.549285714285713,0.0,15.1152,0.0
2022-02-03,San_Antonio_TX,29.424349,-98.491142,-0.02,31.964,33.036,0.0,15.95914285714286,0.0,16.90542857142857,0.0,15.621,0.0
2022-02-04,San_Antonio_TX,29.424349,-98.491142,-1.33,29.606,35.394,0.0,18.594857142857144,0.0,17.500714285714285,0.0,16.5198,0.0
2022-02-05,San_Antonio_TX,29.424349,-98.491142,2.24,36.032000000000004,28.967999999999996,0.0,20.400000000000002,0.0,17.937857142857144,0.0,16.9728,0.0
2022-02-06,San_Antonio_TX,29.424349,-98.491142,5.78,42.403999999999996,22.596000000000004,0.0,21.59314285714286,0.0,18.463714285714286,0.0,16.915200000000002,0.0
2022-02-07,San_Antonio_TX,29.424349,-98.491142,8.06,46.508,18.491999999999997,0.0,22.830000000000002,0.0,18.628285714285713,0.0,17.1186,0.0
2022-02-08,San_Antonio_TX,29.424349,-98.491142,9.49,49.082,15.918,0.0,23.894571428571428,0.0,18.68357142857143,0.0,17.2842,0.0
2022-02-09,San_Antonio_TX,29.424349,-98.491142,10.51,50.918,14.082,0.0,24.06942857142857,0.0,18.587142857142855,0.0,17.150399999999998,0.0
2022-02-10,San_Antonio_TX,29.424349,-98.491142,12.02,53.635999999999996,11.364000000000004,0.0,20.97342857142857,0.0,18.466285714285714,0.0,16.884,0.0
2022-02-11,San_Antonio_TX,29.424349,-98.491142,13.3,55.94,9.060000000000002,0.0,17.21142857142857,0.0,17.903142857142857,0.0,16.7112,0.0
2022-02-12,San_Antonio_TX,29.424349,-98.491142,9.49,49.082,15.918,0.0,15.347142857142858,0.0,17.87357142857143,0.0,16.975199999999997,0.0
2022-02-13,San_Antonio_TX,29.424349,-98.491142,7.96,46.328,18.671999999999997,0.0,14.78657142857143,0.0,18.189857142857143,0.0,17.3616,0.0
2022-02-14,San_Antonio_TX,29.424349,-98.491142,9.89,49.802,15.198,0.0,14.316000000000003,0.0,18.573,0.0,17.271,0.0
2022-02-15,San_Antonio_TX,29.424349,-98.491142,14.25,57.65,7.350000000000001,0.0,13.092,0.0,18.493285714285715,0.0,16.8612,0.0
2022-02-16,San_Antonio_TX,29.424349,-98.491142,18.38,65.084,0.0,0.08400000000000318,11.080285714285717,0.012000000000000455,17.574857142857145,0.006000000000000227,16.366,0.0028000000000001062
2022-02-17,San_Antonio_TX,29.424349,-98.491142,14.62,58.315999999999995,6.684000000000005,0.0,10.411714285714286,0.012000000000000455,15.692571428571428,0.006000000000000227,16.252000000000002,0.0028000000000001062
2022-02-18,San_Antonio_TX,29.424349,-98.491142,7.17,44.906,20.094,0.0,11.988,0.012000000000000455,14.599714285714287,0.006000000000000227,16.8172,0.0028000000000001062
2022-02-19,San_Antonio_TX,29.424349,-98.491142,9.84,49.712,15.287999999999997,0.0,11.898,0.012000000000000455,13.62257142857143,0.006000000000000227,16.3918,0.0028000000000001062
2022-02-20,San_Antonio_TX,29.424349,-98.491142,12.93,55.274,9.725999999999999,0.0,10.620000000000001,0.012000000000000455,12.703285714285714,0.006000000000000227,15.814,0.0028000000000001062
2022-02-21,San_Antonio_TX,29.424349,-98.491142,20.28,68.504,0.0,3.504000000000005,8.448857142857143,0.5125714285714297,11.382428571428571,0.25628571428571484,15.0524,0.11960000000000028
2022-02-22,San_Antonio_TX,29.424349,-98.491142,20.56,69.008,0.0,4.007999999999996,7.3988571428571435,1.0851428571428576,10.24542857142857,0.5425714285714288,14.544599999999999,0.25320000000000015
2022-02-23,San_Antonio_TX,29.424349,-98.491142,5.62,42.116,22.884,0.0,10.668000000000001,1.0731428571428572,10.874142857142857,0.5425714285714288,14.7678,0.25320000000000015
2022-02-24,San_Antonio_TX,29.424349,-98.491142,3.97,39.146,25.854,0.0,13.406571428571427,1.0731428571428572,11.909142857142857,0.5425714285714288,15.124799999999999,0.25320000000000015
2022-02-25,San_Antonio_TX,29.424349,-98.491142,2.53,36.554,28.445999999999998,0.0,14.599714285714285,1.0731428571428572,13.29385714285714,0.5425714285714288,15.558600000000002,0.25320000000000015
2022-02-26,San_Antonio_TX,29.424349,-98.491142,4.9,40.82,24.18,0.0,15.870000000000001,1.0731428571428572,13.883999999999999,0.5425714285714288,15.9294,0.25320000000000015
2022-02-27,San_Antonio_TX,29.424349,-98.491142,7.57,45.626,19.374000000000002,0.0,17.248285714285714,1.0731428571428572,13.93414285714286,0.5425714285714288,16.0104,0.25320000000000015
2022-02-28,San_Antonio_TX,29.424349,-98.491142,9.68,49.424,15.576,0.0,19.47342857142857,0.572571428571428,13.961142857142859,0.5425714285714288,15.9852,0.25320000000000015
2022-03-01,San_Antonio_TX,29.424349,-98.491142,11.93,53.474000000000004,11.525999999999996,0.0,21.12,0.0,14.25942857142857,0.5425714285714288,15.8946,0.25320000000000015
