Power Futures Historical Data
From ERCOT Hub Average Settlement Prices
Date,Close,High,Low,Open,Volume
2024-03-17,27.954583333333332,67.58,15.0,32.77,
2024-03-18,35.46364583333333,291.22,6.86,16.11,
2024-03-19,25.926875,260.73,0.73,26.56,
2024-03-20,21.65760416666667,109.55,5.41,40.15,
2024-03-21,35.7353125,129.03,13.26,13.26,
2024-03-22,23.3371875,294.29,0.02,50.07,
2024-03-23,15.360520833333332,76.24,0.78,13.07,
2024-03-24,0.7863541666666668,53.45,-30.54,1.56,
2024-03-25,14.593541666666667,59.98,-0.83,14.64,
2024-03-26,26.498437499999998,118.45,4.51,16.53,
2024-03-27,16.861145833333335,69.64,1.94,12.53,
2024-03-28,16.423333333333336,110.02,-0.84,16.04,
2024-03-29,1.9260416666666667,12.83,-11.24,5.42,
2024-03-30,17.94,89.54,-0.94,7.68,
2024-03-31,15.517708333333333,31.22,6.07,9.12,
2024-04-01,12.86125,23.77,3.04,6.57,
2024-04-02,10.288229166666666,80.13,-4.39,12.01,
2024-04-03,29.885,342.99,0.01,43.04,
2024-04-04,23.969791666666666,271.27,2.24,17.82,
2024-04-05,9.9346875,136.32,-0.97,9.32,
2024-04-06,8.7690625,26.61,0.58,7.84,
2024-04-07,36.882083333333334,262.28,6.2,18.28,
2024-04-08,34.1825,471.87,8.83,14.87,
2024-04-09,19.495416666666667,71.92,8.05,17.24,
2024-04-10,13.012708333333334,51.0,-0.7,9.29,
2024-04-11,34.15635416666667,499.12,0.01,25.57,
2024-04-12,6.650625000000001,32.15,-1.73,16.5,
2024-04-13,-2.3852083333333334,27.78,-30.72,1.43,
2024-04-14,13.891666666666667,151.61,-1.61,4.91,
2024-04-15,7.0109375,16.85,1.81,6.39,
2024-04-16,91.3896875,2395.75,6.22,9.1,
2024-04-17,18.979270833333334,85.53,4.61,29.17,
2024-04-18,10.885520833333333,24.63,3.66,10.0,
2024-04-19,20.140416666666667,61.2,6.21,17.16,
2024-04-20,15.821979166666667,36.45,4.84,22.96,
2024-04-21,15.125208333333333,170.87,-0.26,11.3,
2024-04-22,8.693229166666667,21.48,0.01,16.8,
2024-04-23,11.851041666666667,47.26,2.71,3.53,
2024-04-24,56.23614583333333,370.76,10.43,10.43,
2024-04-25,16.338541666666668,49.56,8.12,16.26,
2024-04-26,33.069375,1087.88,5.32,13.24,
2024-04-27,11.359791666666666,56.15,4.51,13.61,
2024-04-28,126.85510416666666,2388.43,9.33,73.46,
2024-04-29,28.6778125,192.99,4.94,35.61,
2024-04-30,7.386458333333334,17.12,-1.66,5.69,
2024-05-01,10.783229166666667,33.13,5.53,6.02,
2024-05-02,22.751458333333332,98.72,9.73,11.26,
2024-05-03,17.4715625,72.22,5.01,17.89,
2024-05-04,13.611145833333333,51.45,0.26,4.69,
2024-05-05,25.690416666666664,65.42,6.07,12.03,
2024-05-06,11.6015625,36.94,3.7,6.66,
2024-05-07,35.05104166666667,110.87,9.77,12.31,
2024-05-08,345.985625,4981.33,7.38,9.54,
2024-05-09,57.40260416666666,303.89,13.09,16.8,
2024-05-10,37.577395833333334,310.4,4.03,13.07,
2024-05-11,25.148124999999997,74.08,12.46,72.3,
2024-05-12,40.799375,80.4,16.7,19.12,
2024-05-13,48.790625,488.57,9.9,80.64,
2024-05-14,23.822708333333335,135.18,8.68,21.88,
2024-05-15,15.057604166666666,55.24,2.27,11.41,
2024-05-16,23.226354166666667,110.72,16.17,17.41,
2024-05-17,26.526770833333334,134.0,10.62,20.8,
2024-05-18,22.192083333333333,164.39,0.0,17.83,
2024-05-19,10.574583333333333,21.74,-0.41,13.3,
2024-05-20,15.081770833333332,39.85,0.81,12.26,
2024-05-21,51.5078125,441.83,10.34,13.6,
2024-05-22,24.441354166666667,81.72,11.42,24.69,
2024-05-23,22.841979166666665,86.27,11.47,20.26,
2024-05-24,31.32239583333333,96.36,11.88,18.93,
2024-05-25,16.367604166666666,39.39,6.39,13.27,
2024-05-26,24.598958333333332,138.64,2.68,14.44,
2024-05-27,56.6553125,187.46,15.3,30.83,
2024-05-28,12.417604166666665,37.27,4.76,16.52,
2024-05-29,39.108645833333334,355.53,10.57,11.41,
2024-05-30,39.80958333333333,306.7,14.25,18.43,
2024-05-31,20.690729166666667,56.75,6.22,14.81,
2024-06-01,18.318854166666664,36.53,3.78,17.69,
2024-06-02,15.2953125,57.24,-0.01,18.19,
2024-06-03,23.90697916666667,307.83,3.91,18.78,
2024-06-04,45.869791666666664,553.29,11.23,18.65,
2024-06-05,19.838645833333334,43.56,13.59,20.88,
2024-06-06,20.211145833333333,46.82,8.47,17.97,
2024-06-07,20.314375000000002,42.99,11.79,18.75,
2024-06-08,22.174583333333334,62.73,5.89,22.04,
